slugSeason,Year,League,Date,Score,MVP,Location
1971-71,1971,NBA,1971-01-12,"West 108, East 107",Lenny Wilkens,"San Diego Sports Arena, San Diego, CA"
1970-70,1970,NBA,1970-01-20,"East 142, West 135",Willis Reed,"The Spectrum, Philadelphia, PA"
1969-69,1969,NBA,1969-01-14,"East 123, West 112",Oscar Robertson,"Baltimore Civic Center, Baltimore, MD"
1968-68,1968,NBA,1968-01-23,"East 144, West 124",Hal Greer,"Madison Square Garden, New York, NY"
1967-67,1967,NBA,1967-01-10,"West 135, East 120",Rick Barry,"Cow Palace, San Francisco, CA"
1966-66,1966,NBA,1966-01-11,"East 137, West 94",Adrian Smith,"Cincinnati Gardens, Cincinnati, OH"
1965-65,1965,NBA,1965-01-13,"East 124, West 123",Jerry Lucas,"St. Louis Arena, St. Louis, MO"
1964-64,1964,NBA,1964-01-14,"East 111, West 107",Oscar Robertson,"Boston Garden, Boston, MA"
1963-63,1963,NBA,1963-01-16,"East 115, West 108",Bill Russell,"Los Angeles Memorial Sports Arena, Los Angeles, CA"
1962-62,1962,NBA,1962-01-16,"West 150, East 130",Bob Pettit,"St. Louis Arena, St. Louis, MO"
1961-61,1961,NBA,1961-01-17,"West 153, East 131",Oscar Robertson,"Onondaga County War Memorial Coliseum, Syracuse, NY"
1960-60,1960,NBA,1960-01-22,"East 125, West 115",Wilt Chamberlain,"Convention Hall, Philadelphia, PA"
1959-59,1959,NBA,1959-01-23,"West 124, East 108","Elgin Baylor, Bob Pettit","Olympia Stadium, Detroit, MI"
1958-58,1958,NBA,1958-01-21,"East 130, West 118",Bob Pettit,"Kiel Auditorium, St. Louis, MO"
1957-57,1957,NBA,1957-01-15,"East 109, West 97",Bob Cousy,"Boston Garden, Boston, MA"
1956-56,1956,NBA,1956-01-24,"West 108, East 94",Bob Pettit,"Rochester War Memorial Coliseum, Rochester, NY"
1955-55,1955,NBA,1955-01-18,"East 100, West 91",Bill Sharman,"Madison Square Garden, New York, NY"
1954-54,1954,NBA,1954-01-21,"East 98, West 93 (OT)",Bob Cousy,"Madison Square Garden, New York, NY"
1953-53,1953,NBA,1953-01-13,"West 79, East 75",George Mikan,"Allen County War Memorial Coliseum, Ft. Wayne, IN"
1952-52,1952,NBA,1952-02-11,"East 108, West 91",Paul Arizin,"Boston Garden, Boston, MA"
1951-51,1951,NBA,1951-03-02,"East 111, West 94",Ed Macauley,"Boston Garden, Boston, MA"
