"idGame","idTeam","possessions"
21100004,1610612753,94
21100004,1610612760,93
21100002,1610612748,100
21100002,1610612742,100
21100001,1610612752,94
21100001,1610612738,94
21100003,1610612747,88
21100003,1610612741,87
21100005,1610612746,93
21100005,1610612744,93
21100007,1610612749,93
21100007,1610612766,94
21100006,1610612764,91
21100006,1610612751,93
21100011,1610612760,98
21100011,1610612750,100
21100012,1610612743,101
21100012,1610612742,103
21100015,1610612758,91
21100015,1610612747,92
21100010,1610612754,90
21100010,1610612765,89
21100016,1610612757,102
21100016,1610612755,101
21100009,1610612761,86
21100009,1610612739,84
21100008,1610612753,88
21100008,1610612745,88
21100014,1610612756,88
21100014,1610612740,89
21100013,1610612759,94
21100013,1610612763,93
21100017,1610612744,96
21100017,1610612741,95
21100020,1610612750,97
21100020,1610612749,99
21100021,1610612758,92
21100021,1610612757,92
21100019,1610612748,104
21100019,1610612738,103
21100018,1610612751,91
21100018,1610612737,91
21100022,1610612762,87
21100022,1610612747,86
21100024,1610612748,95
21100024,1610612766,96
21100027,1610612760,89
21100027,1610612763,90
21100023,1610612761,93
21100023,1610612754,92
21100028,1610612740,86
21100028,1610612738,86
21100030,1610612762,103
21100030,1610612743,103
21100025,1610612764,92
21100025,1610612737,91
21100026,1610612765,88
21100026,1610612739,89
21100031,1610612756,93
21100031,1610612755,93
21100029,1610612759,91
21100029,1610612746,92
21100032,1610612752,92
21100032,1610612744,91
21100035,1610612760,96
21100035,1610612742,94
21100036,1610612758,96
21100036,1610612741,97
21100037,1610612757,105
21100037,1610612743,104
21100034,1610612759,89
21100034,1610612745,90
21100033,1610612753,87
21100033,1610612751,87
21100038,1610612752,89
21100038,1610612747,89
21100039,1610612753,87
21100039,1610612766,88
21100043,1610612763,99
21100043,1610612745,99
21100044,1610612756,89
21100044,1610612740,90
21100045,1610612750,103
21100045,1610612748,102
21100046,1610612764,94
21100046,1610612749,94
21100047,1610612761,92
21100047,1610612742,93
21100042,1610612751,87
21100042,1610612737,88
21100040,1610612754,106
21100040,1610612739,107
21100048,1610612762,93
21100048,1610612755,93
21100049,1610612746,90
21100049,1610612741,89
21100041,1610612765,80
21100041,1610612738,80
21100053,1610612756,97
21100053,1610612760,97
21100054,1610612758,93
21100054,1610612752,92
21100051,1610612754,93
21100051,1610612765,92
21100052,1610612745,90
21100052,1610612737,91
21100050,1610612747,95
21100050,1610612743,95
21100055,1610612762,94
21100055,1610612759,96
21100056,1610612755,95
21100056,1610612744,94
21100057,1610612764,93
21100057,1610612738,92
21100061,1610612750,95
21100061,1610612742,95
21100063,1610612747,98
21100063,1610612743,99
21100064,1610612758,93
21100064,1610612740,94
21100059,1610612748,104
21100059,1610612766,105
21100060,1610612751,92
21100060,1610612739,93
21100065,1610612757,98
21100065,1610612746,96
21100058,1610612761,85
21100058,1610612753,87
21100062,1610612763,93
21100062,1610612741,92
21100072,1610612759,90
21100072,1610612750,89
21100074,1610612749,95
21100074,1610612743,96
21100073,1610612760,90
21100073,1610612742,90
21100075,1610612762,87
21100075,1610612740,88
21100070,1610612748,89
21100070,1610612737,91
21100071,1610612753,82
21100071,1610612765,82
21100067,1610612764,91
21100067,1610612738,92
21100068,1610612751,86
21100068,1610612754,85
21100066,1610612756,91
21100066,1610612744,90
21100069,1610612761,94
21100069,1610612752,95
21100079,1610612757,91
21100079,1610612760,90
21100078,1610612758,98
21100078,1610612763,98
21100080,1610612762,92
21100080,1610612749,92
21100076,1610612739,96
21100076,1610612766,98
21100077,1610612741,91
21100077,1610612737,91
21100081,1610612747,95
21100081,1610612745,94
21100082,1610612761,89
21100082,1610612739,88
21100088,1610612755,91
21100088,1610612740,91
21100089,1610612750,89
21100089,1610612763,90
21100092,1610612758,104
21100092,1610612743,104
21100090,1610612756,93
21100090,1610612742,94
21100086,1610612748,95
21100086,1610612754,96
21100087,1610612765,91
21100087,1610612741,92
21100093,1610612746,94
21100093,1610612745,94
21100083,1610612764,95
21100083,1610612753,96
21100084,1610612751,81
21100084,1610612738,81
21100085,1610612752,100
21100085,1610612766,99
21100091,1610612759,94
21100091,1610612744,94
21100096,1610612758,98
21100096,1610612749,98
21100094,1610612748,116
21100094,1610612737,115
21100097,1610612757,92
21100097,1610612747,91
21100095,1610612759,92
21100095,1610612742,92
21100101,1610612766,94
21100101,1610612737,94
21100105,1610612760,92
21100105,1610612745,92
21100098,1610612761,83
21100098,1610612751,84
21100104,1610612740,88
21100104,1610612743,88
21100100,1610612764,101
21100100,1610612752,103
21100106,1610612750,95
21100106,1610612739,95
21100107,1610612762,93
21100107,1610612763,93
21100103,1610612753,87
21100103,1610612741,89
21100102,1610612754,85
21100102,1610612738,85
21100108,1610612757,94
21100108,1610612756,94
21100109,1610612747,95
21100109,1610612744,95
21100099,1610612755,91
21100099,1610612765,90
21100117,1610612740,92
21100117,1610612742,93
21100110,1610612741,91
21100110,1610612737,91
21100111,1610612754,86
21100111,1610612766,88
21100113,1610612752,92
21100113,1610612765,91
21100115,1610612760,90
21100115,1610612745,90
21100118,1610612749,92
21100118,1610612746,92
21100112,1610612751,99
21100112,1610612748,99
21100116,1610612759,98
21100116,1610612743,97
21100119,1610612762,87
21100119,1610612744,87
21100114,1610612761,91
21100114,1610612755,91
21100122,1610612759,96
21100122,1610612760,97
21100120,1610612764,91
21100120,1610612750,91
21100121,1610612758,93
21100121,1610612753,93
21100124,1610612757,102
21100124,1610612739,102
21100123,1610612756,91
21100123,1610612749,93
21100125,1610612763,96
21100125,1610612747,96
21100126,1610612761,88
21100126,1610612750,87
21100131,1610612740,89
21100131,1610612743,90
21100128,1610612751,89
21100128,1610612737,89
21100129,1610612752,94
21100129,1610612766,95
21100130,1610612765,84
21100130,1610612741,85
21100127,1610612755,94
21100127,1610612754,95
21100134,1610612745,97
21100134,1610612766,96
21100137,1610612760,92
21100137,1610612763,92
21100133,1610612764,93
21100133,1610612761,92
21100138,1610612750,95
21100138,1610612741,96
21100136,1610612759,91
21100136,1610612749,92
21100139,1610612762,94
21100139,1610612739,95
21100140,1610612757,89
21100140,1610612746,88
21100135,1610612765,91
21100135,1610612742,93
21100141,1610612756,89
21100141,1610612747,90
21100142,1610612748,111
21100142,1610612744,112
21100132,1610612758,95
21100132,1610612755,96
21100143,1610612761,97
21100143,1610612758,95
21100148,1610612760,86
21100148,1610612740,87
21100150,1610612751,96
21100150,1610612743,97
21100144,1610612754,99
21100144,1610612737,97
21100151,1610612762,98
21100151,1610612747,97
21100152,1610612757,92
21100152,1610612753,93
21100153,1610612748,101
21100153,1610612746,103
21100146,1610612742,93
21100146,1610612738,94
21100145,1610612755,94
21100145,1610612752,94
21100147,1610612764,87
21100147,1610612741,87
21100149,1610612759,96
21100149,1610612745,96
21100156,1610612752,97
21100156,1610612763,96
21100155,1610612749,87
21100155,1610612765,87
21100154,1610612766,91
21100154,1610612737,91
21100157,1610612756,90
21100157,1610612739,92
21100158,1610612753,97
21100158,1610612744,96
21100161,1610612765,87
21100161,1610612766,86
21100159,1610612761,90
21100159,1610612754,88
21100163,1610612740,90
21100163,1610612750,90
21100168,1610612748,96
21100168,1610612743,96
21100165,1610612749,92
21100165,1610612742,92
21100164,1610612758,93
21100164,1610612745,93
21100162,1610612741,84
21100162,1610612738,84
21100167,1610612756,90
21100167,1610612751,91
21100169,1610612747,100
21100169,1610612739,99
21100166,1610612759,98
21100166,1610612757,97
21100160,1610612764,96
21100160,1610612755,95
21100171,1610612744,98
