idGame,idTeam,possessions
20700002,1610612747,96
20700002,1610612745,97
20700001,1610612759,92
20700001,1610612757,93
20700003,1610612762,106
20700003,1610612744,106
20700009,1610612759,96
20700009,1610612763,97
20700004,1610612761,90
20700004,1610612755,91
20700010,1610612758,94
20700010,1610612740,95
20700011,1610612760,105
20700011,1610612743,105
20700006,1610612764,111
20700006,1610612754,110
20700008,1610612742,89
20700008,1610612739,89
20700005,1610612753,90
20700005,1610612749,89
20700007,1610612751,103
20700007,1610612741,103
20700014,1610612760,108
20700014,1610612756,110
20700013,1610612762,98
20700013,1610612745,98
20700012,1610612748,93
20700012,1610612765,93
20700015,1610612749,96
20700015,1610612766,95
20700022,1610612757,89
20700022,1610612740,90
20700023,1610612750,99
20700023,1610612743,97
20700019,1610612742,95
20700019,1610612737,94
20700017,1610612748,93
20700017,1610612754,93
20700020,1610612752,90
20700020,1610612739,89
20700016,1610612753,90
20700016,1610612765,90
20700027,1610612746,103
20700027,1610612744,104
20700021,1610612764,97
20700021,1610612738,97
20700018,1610612761,88
20700018,1610612751,87
20700026,1610612756,103
20700026,1610612747,103
20700024,1610612755,96
20700024,1610612741,96
20700025,1610612759,93
20700025,1610612758,93
20700030,1610612763,108
20700030,1610612754,109
20700029,1610612764,92
20700029,1610612753,92
20700031,1610612749,92
20700031,1610612741,92
20700033,1610612758,89
20700033,1610612742,89
20700034,1610612762,100
20700034,1610612744,100
20700032,1610612757,92
20700032,1610612745,93
20700028,1610612755,96
20700028,1610612751,96
20700035,1610612761,97
20700035,1610612738,95
20700040,1610612740,100
20700040,1610612743,100
20700038,1610612748,86
20700038,1610612766,88
20700039,1610612765,91
20700039,1610612737,91
20700036,1610612760,103
20700036,1610612746,105
20700041,1610612756,101
20700041,1610612739,101
20700037,1610612752,87
20700037,1610612750,88
20700042,1610612762,106
20700042,1610612747,105
20700043,1610612745,93
20700043,1610612742,94
20700044,1610612756,96
20700044,1610612766,95
20700048,1610612753,94
20700048,1610612750,92
20700051,1610612760,100
20700051,1610612758,101
20700047,1610612761,94
20700047,1610612749,95
20700050,1610612759,85
20700050,1610612745,87
20700045,1610612751,91
20700045,1610612737,91
20700046,1610612752,100
20700046,1610612743,102
20700049,1610612746,93
20700049,1610612741,92
20700052,1610612740,100
20700052,1610612747,99
20700053,1610612744,102
20700053,1610612739,104
20700061,1610612760,100
20700061,1610612763,100
20700054,1610612761,95
20700054,1610612753,96
20700056,1610612756,98
20700056,1610612737,99
20700057,1610612746,100
20700057,1610612754,99
20700060,1610612762,100
20700060,1610612739,100
20700062,1610612757,92
20700062,1610612740,92
20700058,1610612743,102
20700058,1610612738,102
20700059,1610612759,87
20700059,1610612748,87
20700055,1610612755,92
20700055,1610612766,92
20700063,1610612764,91
20700063,1610612751,93
20700064,1610612765,94
20700064,1610612741,95
20700065,1610612744,100
20700065,1610612742,99
20700078,1610612762,100
20700078,1610612760,102
20700067,1610612754,92
20700067,1610612766,92
20700071,1610612764,105
20700071,1610612743,104
20700073,1610612759,87
20700073,1610612740,87
20700077,1610612758,93
20700077,1610612739,93
20700075,1610612757,92
20700075,1610612763,94
20700072,1610612746,92
20700072,1610612765,92
20700070,1610612756,96
20700070,1610612748,96
20700074,1610612749,93
20700074,1610612745,92
20700068,1610612738,90
20700068,1610612737,90
20700069,1610612753,102
20700069,1610612752,102
20700076,1610612750,97
20700076,1610612747,96
20700066,1610612761,94
20700066,1610612755,95
20700084,1610612758,90
20700084,1610612750,92
20700080,1610612754,113
20700080,1610612743,114
20700083,1610612762,102
20700083,1610612763,102
20700085,1610612757,91
20700085,1610612742,90
20700079,1610612756,96
20700079,1610612753,96
20700081,1610612751,96
20700081,1610612738,97
20700082,1610612761,96
20700082,1610612741,96
20700091,1610612760,101
20700091,1610612765,103
20700089,1610612745,89
20700089,1610612766,89
20700086,1610612764,91
20700086,1610612737,92
20700092,1610612746,95
20700092,1610612739,95
20700087,1610612752,84
20700087,1610612748,86
20700090,1610612759,93
20700090,1610612749,93
20700088,1610612755,89
20700088,1610612740,89
20700094,1610612743,99
20700094,1610612739,98
20700095,1610612762,94
20700095,1610612758,94
20700093,1610612740,92
20700093,1610612751,90
20700096,1610612748,86
20700096,1610612766,87
20700099,1610612763,97
20700099,1610612745,97
20700100,1610612755,95
20700100,1610612742,94
20700098,1610612754,96
20700098,1610612738,98
20700103,1610612757,91
20700103,1610612765,90
20700097,1610612760,105
20700097,1610612753,106
